x,y,Mean1,Mean2,Diff,,,,,
97,27.5,1112.04645,1040.150018,71.89643156,,,,,
88.25,27.75,988.6757332,937.8533479,50.82238531,,,,,
88.5,27.75,1070.290019,1023.267794,47.02222488,,,,,
88.75,27.75,1151.904304,1108.68224,43.22206445,,,,,
91.75,27.75,1276.857166,1261.942241,14.91492527,,,,,
92,27.75,1170.869307,1153.433349,17.43595753,,,,,
92.25,27.75,1064.881448,1044.924458,19.95698978,,,,,
92.5,27.75,1135.515018,1111.97446,23.54055813,,,,,
92.75,27.75,1206.148589,1179.024463,27.12412647,,,,,
93,27.75,1265.209305,1229.923354,35.28595144,,,,,
93.25,27.75,1324.270022,1280.822245,43.44777642,,,,,
93.5,27.75,1350.145737,1298.391134,51.75460269,,,,,
93.75,27.75,1376.021452,1315.960023,60.06142895,,,,,
94,27.75,1385.868595,1319.365576,66.50301966,,,,,
94.25,27.75,1395.715738,1322.771128,72.94461037,,,,,
94.5,27.75,1426.042881,1346.47891,79.56397098,,,,,
94.75,27.75,1456.370023,1370.186692,86.18333159,,,,,
95,27.75,1468.375739,1378.94447,89.4312688,,,,,
95.25,27.75,1480.381454,1387.702248,92.67920601,,,,,
95.5,27.75,1455.831454,1363.473359,92.35809452,,,,,
95.75,27.75,1431.281454,1339.24447,92.03698304,,,,,
96,27.75,1388.380024,1297.966689,90.41333496,,,,,
96.25,27.75,1345.478594,1256.688907,88.78968688,,,,,
96.5,27.75,1146.28002,1069.130017,77.15000313,,,,,
96.75,27.75,947.0814451,881.5711257,65.51031939,,,,,
97,27.75,1010.542162,941.8766846,68.66547721,,,,,
97.25,27.75,1074.002878,1002.182243,71.82063503,,,,,
88.25,28,989.2957321,944.6577928,44.63793923,,,,,
88.5,28,1018.415732,976.4500155,41.96571608,,,,,
88.75,28,1047.535731,1008.242238,39.29349293,,,,,
92.75,28,1007.827873,985.8800153,21.94785815,,,,,
93,28,1092.669304,1063.00335,29.66595316,,,,,
93.25,28,1177.510734,1140.126685,37.38404817,,,,,
93.5,28,1207.874306,1162.847798,45.02650845,,,,,
93.75,28,1238.237879,1185.56891,52.66896873,,,,,
94,28,1253.683236,1194.765021,58.91821525,,,,,
94.25,28,1269.128592,1203.961131,65.16746177,,,,,
94.5,28,1315.367522,1243.374466,71.99305664,,,,,
94.75,28,1361.606453,1282.787801,78.8186515,,,,,
95,28,1349.933238,1269.61169,80.32154856,,,,,
95.25,28,1338.260024,1256.435578,81.82444562,,,,,
95.5,28,1328.174666,1244.116689,84.05797722,,,,,
95.75,28,1318.089309,1231.7978,86.29150881,,,,,
96,28,1245.575021,1162.458908,83.11611351,,,,,
96.25,28,1173.060734,1093.120015,79.94071822,,,,,
96.5,28,1038.28609,966.219459,72.06663051,,,,,
96.75,28,903.5114454,839.3189025,64.19254281,,,,,
97,28,908.3018028,844.2627927,64.03901015,,,,,
97.25,28,913.0921603,849.2066828,63.88547749,,,,,
92.75,28.25,809.5071579,792.7355681,16.77158984,,,,,
93,28.25,920.1293017,896.0833468,24.04595488,,,,,
93.25,28.25,1030.751446,999.4311256,31.32031992,,,,,
93.5,28.25,1065.602876,1027.304462,38.29841421,,,,,
93.75,28.25,1100.454306,1055.177798,45.2765085,,,,,
94,28.25,1121.497876,1070.164466,51.33341084,,,,,
94.25,28.25,1142.541447,1085.151133,57.39031318,,,,,
94.5,28.25,1204.692164,1140.270022,64.4221423,,,,,
94.75,28.25,1266.842882,1195.388911,71.45397142,,,,,
95,28.25,1231.490738,1160.27891,71.21182833,,,,,
95.25,28.25,1196.138594,1125.168909,70.96968524,,,,,
95.5,28.25,1200.517879,1124.760019,75.75785991,,,,,
95.75,28.25,1204.897164,1124.351129,80.54603459,,,,,
96,28.25,1102.770018,1026.951126,75.81889207,,,,,
96.25,28.25,1000.642873,929.5511235,71.09174956,,,,,
96.5,28.25,930.2921593,863.3089014,66.98325789,,,,,
96.75,28.25,859.9414456,797.0666794,62.87476622,,,,,
97,28.25,806.0614439,746.6489008,59.41254309,,,,,
97.25,28.25,752.1814421,696.2311222,55.95031996,,,,,
93.25,28.5,870.1421575,843.3455682,26.79658928,,,,,
93.5,28.5,897.5403729,865.4366812,32.10369178,,,,,
93.75,28.5,924.9385884,887.5277941,37.41079427,,,,,
94,28.5,955.507517,913.2433501,42.26416686,,,,,
94.25,28.5,986.0764456,938.9589062,47.11753945,,,,,
94.5,28.5,1074.538591,1019.313907,55.22468467,,,,,
94.75,28.5,1163.000737,1099.668907,63.33182988,,,,,
95,28.5,1111.358235,1047.862796,63.49543906,,,,,
95.25,28.5,1059.715732,996.0566841,63.65904825,,,,,
95.5,28.5,1055.28109,987.8516831,67.42940672,,,,,
95.75,28.5,1050.846447,979.646682,71.19976519,,,,,
96,28.5,970.7864452,903.4039026,67.38254255,,,,,
96.25,28.5,890.7264431,827.1611232,63.5653199,,,,,
96.5,28.5,836.1621576,774.871123,61.29103457,,,,,
96.75,28.5,781.597872,722.5811228,59.01674923,,,,,
93.75,28.75,749.4228706,719.8777906,29.54508004,,,,,
94,28.75,789.5171577,756.3222348,33.19492288,,,,,
94.25,28.75,829.6114447,792.766679,36.84476572,,,,,
94.5,28.75,944.3850184,898.3577914,46.02722703,,,,,
94.75,28.75,1059.158592,1003.948904,55.20968834,,,,,
95,28.75,991.2257312,935.4466814,55.7790498,,,,,
95.25,28.75,923.2928702,866.944459,56.34841127,,,,,
95.5,28.75,910.0443004,850.9433469,59.10095353,,,,,
95.75,28.75,896.7957305,834.9422347,61.85349579,,,,,
96,28.75,838.8028719,779.8566788,58.94619302,,,,,
96.25,28.75,780.8100132,724.771123,56.03889025,,,,,
96.5,28.75,742.0321558,686.4333446,55.59881125,,,,,
94.25,29,744.5300139,712.5411219,31.98889194,,,,,
94.5,29,805.612158,766.7244559,38.8877021,,,,,
94.75,29,866.6943022,820.9077899,45.78651226,,,,,
95,29,859.3457295,810.7450128,48.60071669,,,,,
95.25,29,851.9971569,800.5822358,51.41492113,,,,,
95.5,29,830.2807282,776.9205686,53.36015964,,,,,
95.75,29,808.5642995,753.2589014,55.30539815,,,,,
96,29,755.969656,701.9561228,54.0135332,,,,,
96.25,29,703.3750125,650.6533442,52.72166825,,,,,
96.5,29,677.1292979,624.7072323,52.42206567,,,,,
94.5,29.25,666.8392976,635.0911204,31.74817716,,,,,
94.75,29.25,674.2300122,637.866676,36.36333618,,,,,
95,29.25,727.4657279,686.0433443,41.42238358,,,,,
95.25,29.25,780.7014435,734.2200126,46.48143099,,,,,
95.5,29.25,750.517156,702.8977903,47.61936575,,,,,
95.75,29.25,720.3328685,671.575568,48.75730051,,,,,
96,29.25,673.1364401,624.0555668,49.08087338,,,,,
96.25,29.25,625.9400118,576.5355655,49.40444625,,,,,
96.5,29.25,612.22644,562.98112,49.24532008,,,,,
96,29.5,613.9189388,568.680566,45.23837283,,,,,
