x,y,Mean1,Mean2,Diff,,,,,,
78.5,33.5,120.0464286,117.4892045,2.557224026,,,,,,
79.5,33.5,104.8410714,102.4159091,2.425162338,,,,,,
73.5,34.5,421.7539286,495.4801136,-73.72618506,,,,,,
74.5,34.5,307.2660714,337.5153409,-30.24926948,,,,,,
75.5,34.5,184.5632143,200.8301136,-16.26689935,,,,,,
76.5,34.5,128.7146429,137.9232955,-9.208652597,,,,,,
77.5,34.5,73.85607143,78.23977273,-4.383701299,,,,,,
78.5,34.5,33.09928571,35.10170455,-2.002418831,,,,,,
79.5,34.5,12.5725,13.87897727,-1.306477273,,,,,,
73.5,35.5,192.8475,225.73125,-32.88375,,,,,,
74.5,35.5,140.87,164.1448864,-23.27488636,,,,,,
75.5,35.5,91.98285714,106.7261364,-14.74327922,,,,,,
76.5,35.5,36.94928571,43.74943182,-6.800146104,,,,,,
77.5,35.5,11.27214286,14.39147727,-3.119334416,,,,,,
78.5,35.5,5.516428571,7.288636364,-1.772207792,,,,,,
79.5,35.5,3.79,5.010795455,-1.220795455,,,,,,
80.5,35.5,2.659285714,3.120454545,-0.461168831,,,,,,
72.5,36.5,111.7910714,128.7113636,-16.92029221,,,,,,
73.5,36.5,95.47,108.1880682,-12.71806818,,,,,,
74.5,36.5,66.57928571,74.71931818,-8.140032468,,,,,,
75.5,36.5,27.62428571,35.21136364,-7.587077922,,,,,,
78.5,36.5,4.232142857,5.81875,-1.586607143,,,,,,
79.5,36.5,11.63071429,13.82954545,-2.198831169,,,,,,
