x,y,Mean1,Mean2,Diff,,,,,,,
95,27,1523.890023,1496.749027,27.140996,,,,,,,
95.25,27,1467.105021,1445.212025,21.89299601,,,,,,,
95.5,27,1441.230024,1426.469024,14.76099936,,,,,,,
95.75,27,1415.355026,1407.726023,7.629002724,,,,,,,
96,27,1422.903776,1418.806024,4.09775188,,,,,,,
88,27.25,1947.805045,1793.98403,153.8210147,,,,,,,
88.25,27.25,1897.59504,1766.760033,130.8350068,,,,,,,
88.5,27.25,1928.492536,1812.130032,116.3625049,,,,,,,
88.75,27.25,1959.390033,1857.50003,101.890003,,,,,,,
92,27.25,1571.780029,1610.164026,-38.38399706,,,,,,,
92.25,27.25,1500.325025,1535.988023,-35.66299784,,,,,,,
92.5,27.25,1518.957527,1549.820021,-30.86249413,,,,,,,
92.75,27.25,1537.590029,1563.652019,-26.06199043,,,,,,,
93,27.25,1506.69253,1524.42402,-17.73148988,,,,,,,
93.25,27.25,1475.795032,1485.196021,-9.400989323,,,,,,,
93.5,27.25,1478.080031,1479.856022,-1.775990238,,,,,,,
93.75,27.25,1480.365031,1474.516022,5.849008846,,,,,,,
94,27.25,1515.795032,1500.560023,15.2350086,,,,,,,
94.25,27.25,1551.225033,1526.604024,24.62100836,,,,,,,
94.5,27.25,1569.807528,1538.898026,30.90950192,,,,,,,
94.75,27.25,1588.390024,1551.192029,37.19799549,,,,,,,
95,27.25,1569.780023,1535.386029,34.39399457,,,,,,,
95.25,27.25,1551.170022,1519.580029,31.58999365,,,,,,,
95.5,27.25,1509.577525,1484.816025,24.76150072,,,,,,,
95.75,27.25,1467.985028,1450.052021,17.93300779,,,,,,,
96,27.25,1435.510026,1422.954023,12.55600334,,,,,,,
96.25,27.25,1403.035024,1395.856025,7.17899889,,,,,,,
96.5,27.25,1305.15502,1302.786022,2.36899857,,,,,,,
96.75,27.25,1207.275017,1209.716019,-2.441001749,,,,,,,
97,27.25,1196.110021,1203.204018,-7.09399734,,,,,,,
88,27.5,1520.967534,1405.175023,115.7925105,,,,,,,
88.25,27.5,1465.16253,1367.670025,97.49250512,,,,,,,
88.5,27.5,1521.647529,1434.699025,86.94850444,,,,,,,
88.75,27.5,1578.132528,1501.728024,76.40450376,,,,,,,
91.75,27.5,1460.545029,1505.888026,-45.34299691,,,,,,,
92,27.5,1371.272526,1413.568023,-42.29549705,,,,,,,
92.25,27.5,1282.000022,1321.248019,-39.24799719,,,,,,,
92.5,27.5,1326.981271,1363.465019,-36.48374759,,,,,,,
92.75,27.5,1371.962521,1405.682019,-33.71949799,,,,,,,
93,27.5,1385.861274,1412.147021,-26.28574719,,,,,,,
93.25,27.5,1399.760027,1418.612024,-18.8519964,,,,,,,
93.5,27.5,1413.787527,1423.371023,-9.583495929,,,,,,,
93.75,27.5,1427.815028,1428.130023,-0.314995461,,,,,,,
94,27.5,1450.503777,1441.131022,9.372754958,,,,,,,
94.25,27.5,1473.192526,1454.132021,19.06050538,,,,,,,
94.5,27.5,1497.378775,1471.028025,26.35074946,,,,,,,
94.75,27.5,1521.565023,1487.92403,33.64099355,,,,,,,
95,27.5,1517.133773,1484.950029,32.18374421,,,,,,,
95.25,27.5,1512.702523,1481.976028,30.72649487,,,,,,,
95.5,27.5,1479.340026,1453.778027,25.56199883,,,,,,,
95.75,27.5,1445.977528,1425.580025,20.39750278,,,,,,,
96,27.5,1407.285026,1392.647025,14.63800102,,,,,,,
96.25,27.5,1368.592524,1359.714025,8.87849926,,,,,,,
96.5,27.5,1220.14002,1214.971021,5.168999453,,,,,,,
96.75,27.5,1071.687517,1070.228017,1.459499645,,,,,,,
97,27.5,1096.18127,1099.64602,-3.464749327,,,,,,,
88.25,27.75,1032.730021,968.5800173,64.15000348,,,,,,,
88.5,27.75,1114.802522,1057.268018,57.53450402,,,,,,,
88.75,27.75,1196.875023,1145.956018,50.91900455,,,,,,,
91.75,27.75,1277.855025,1327.436022,-49.58099754,,,,,,,
92,27.75,1170.765022,1216.972019,-46.20699704,,,,,,,
92.25,27.75,1063.675019,1106.508015,-42.83299654,,,,,,,
92.5,27.75,1135.005016,1177.110017,-42.10500104,,,,,,,
92.75,27.75,1206.335013,1247.712018,-41.37700554,,,,,,,
93,27.75,1265.030018,1299.870022,-34.84000451,,,,,,,
93.25,27.75,1323.725022,1352.028026,-28.30300347,,,,,,,
93.5,27.75,1349.495023,1366.886025,-17.39100162,,,,,,,
93.75,27.75,1375.265024,1381.744024,-6.478999767,,,,,,,
94,27.75,1385.212522,1381.70202,3.510501313,,,,,,,
94.25,27.75,1395.160019,1381.660017,13.50000239,,,,,,,
94.5,27.75,1424.950021,1403.158024,21.791997,,,,,,,
94.75,27.75,1454.740022,1424.656031,30.0839916,,,,,,,
95,27.75,1464.487523,1434.514029,29.97349384,,,,,,,
95.25,27.75,1474.235024,1444.372028,29.86299608,,,,,,,
95.5,27.75,1449.102526,1422.740029,26.36249693,,,,,,,
95.75,27.75,1423.970028,1401.10803,22.86199778,,,,,,,
96,27.75,1379.060026,1362.340027,16.7199987,,,,,,,
96.25,27.75,1334.150024,1323.572024,10.57799963,,,,,,,
96.5,27.75,1135.12502,1127.15602,7.969000335,,,,,,,
96.75,27.75,936.1000165,930.7400154,5.36000104,,,,,,,
97,27.75,996.2525196,996.0880209,0.164498687,,,,,,,
97.25,27.75,1056.405023,1061.436026,-5.031003666,,,,,,,
88.25,28,1034.830019,979.0700169,55.76000249,,,,,,,
88.5,28,1060.068769,1012.525017,47.54375225,,,,,,,
88.75,28,1085.307519,1045.980017,39.32750201,,,,,,,
92.75,28,1007.742513,1047.738016,-39.99550248,,,,,,,
93,28,1092.201267,1128.002019,-35.80075205,,,,,,,
93.25,28,1176.66002,1208.266022,-31.60600163,,,,,,,
93.5,28,1207.140021,1228.717022,-21.57700139,,,,,,,
93.75,28,1237.620021,1249.168022,-11.54800115,,,,,,,
94,28,1253.110019,1255.182022,-2.072003109,,,,,,,
94.25,28,1268.600017,1261.196022,7.403994932,,,,,,,
94.5,28,1314.325019,1299.364024,14.96099519,,,,,,,
94.75,28,1360.050022,1337.532027,22.51799546,,,,,,,
95,28,1347.171273,1324.071025,23.10024805,,,,,,,
